Date,Closing Price,Volume
2021-04-08,27.033987045288086,377988327
2021-04-09,27.778274536132812,282477938
2021-04-10,26.84140396118164,270235258
2021-04-11,27.9318904876709,232938762
2021-04-12,28.512123107910156,308804546
2021-04-13,27.4355525970459,258183912
2021-04-14,26.47511100769043,342565805
2021-04-15,27.818313598632812,221346739
2021-04-16,25.39736557006836,240665351
2021-04-17,25.09987449645996,201720376
2021-04-18,32.30291748046875,1155150688
2021-04-19,31.67589569091797,1219130981
2021-04-20,31.77005386352539,793008154
2021-04-21,32.51304244995117,729130141
2021-04-22,38.8797607421875,1638622971
2021-04-23,36.97842025756836,1612232268
2021-04-24,40.7373161315918,1101380795
2021-04-25,47.36762619018555,1583800800
2021-04-26,43.97651672363281,1357487872
2021-04-27,43.2390022277832,904891996
2021-04-28,44.825984954833984,1021154320
2021-04-29,42.460540771484375,772259307
2021-04-30,42.95600128173828,534976437
2021-05-01,49.50802230834961,859524423
2021-05-02,46.890987396240234,571072187
2021-05-03,45.93368911743164,609194252
2021-05-04,42.729557037353516,682976428
2021-05-05,44.92357635498047,503781975
2021-05-06,43.4556770324707,391497018
2021-05-07,43.1550178527832,514344601
2021-05-08,45.56153106689453,451056655
2021-05-09,44.330196380615234,510603312
2021-05-10,42.90963363647461,499528076
2021-05-11,44.57746887207031,473731333
2021-05-12,42.45730972290039,1151668076
2021-05-13,40.99785232543945,1016860656
2021-05-14,42.717864990234375,504167711
2021-05-15,43.461307525634766,500445722
2021-05-16,47.200828552246094,1990976771
2021-05-17,46.86320495605469,1951921366
2021-05-18,55.91096115112305,2025388219
2021-05-19,35.107181549072266,2772224999
2021-05-20,44.74274826049805,2487748626
2021-05-21,38.81285095214844,1769762028
2021-05-22,31.315582275390625,1078751751
2021-05-23,24.68874740600586,1925832341
2021-05-24,31.283571243286133,1346786023
2021-05-25,29.99707794189453,909470305
2021-05-26,35.539817810058594,1069991365
2021-05-27,33.584590911865234,649389058
2021-05-28,29.039276123046875,600255582
2021-05-29,27.376420974731445,376859866
2021-05-30,28.602659225463867,359661704
2021-05-31,32.816246032714844,534826504
2021-06-01,30.985260009765625,432053117
2021-06-02,33.95631790161133,497567418
2021-06-03,39.47090530395508,960056106
2021-06-04,37.415069580078125,1056279506
2021-06-05,39.58539962768555,1112426664
2021-06-06,42.30837631225586,794387364
2021-06-07,38.262332916259766,923157614
2021-06-08,41.51781463623047,1786996802
2021-06-09,42.031776428222656,1218831041
2021-06-10,41.09867477416992,595246689
2021-06-11,36.046085357666016,518666603
2021-06-12,36.441688537597656,549070417
2021-06-13,38.77043533325195,452988674
2021-06-14,38.71305465698242,477871463
2021-06-15,41.153648376464844,605285143
2021-06-16,39.703617095947266,576016902
2021-06-17,39.264591217041016,417775600
2021-06-18,36.64879608154297,424163369
2021-06-19,35.35343551635742,264640750
2021-06-20,35.32201385498047,452587531
2021-06-21,26.657400131225586,760344541
2021-06-22,26.7718563079834,1258580061
2021-06-23,30.048887252807617,1111302687
2021-06-24,31.181034088134766,641150364
2021-06-25,28.698862075805664,632052177
2021-06-26,29.712854385375977,560342710
2021-06-27,31.929391860961914,497353288
2021-06-28,32.92778015136719,473612135
2021-06-29,33.86680221557617,471854279
2021-06-30,35.55640411376953,570984168
2021-07-01,33.40403366088867,474665321
2021-07-02,34.02048110961914,440298780
2021-07-03,34.478816986083984,327019964
2021-07-04,34.31060028076172,303420520
2021-07-05,32.984588623046875,313839322
2021-07-06,34.26913833618164,365336040
2021-07-07,36.59136962890625,519252659
2021-07-08,33.20372772216797,498201257
2021-07-09,33.2646484375,327170629
