Date,Closing Price,Volume
2022-01-01,47686.8125,24582667004
2022-01-02,47345.21875,27951569547
2022-01-03,46458.1171875,33071628362
2022-01-04,45897.57421875,42494677905
2022-01-05,43569.00390625,36851084859
2022-01-06,43160.9296875,30208048289
2022-01-07,41557.90234375,84196607520
2022-01-08,41733.94140625,28066355845
2022-01-09,41911.6015625,21294384372
2022-01-10,41821.26171875,32104232331
2022-01-11,42735.85546875,26327648900
2022-01-12,43949.1015625,33499938689
2022-01-13,42591.5703125,47691135082
2022-01-14,43099.69921875,23577403399
2022-01-15,43177.3984375,18371348298
2022-01-16,43113.87890625,17902097845
2022-01-17,42250.55078125,21690904261
2022-01-18,42375.6328125,22417209227
2022-01-19,41744.328125,23091543258
2022-01-20,40680.41796875,20382033940
2022-01-21,36457.31640625,43011992031
2022-01-22,35030.25,39714385405
2022-01-23,36276.8046875,26017975951
2022-01-24,36654.328125,41856658597
2022-01-25,36954.00390625,26428189594
2022-01-26,36852.12109375,31324598034
2022-01-27,37138.234375,25041426629
2022-01-28,37784.33203125,22238830523
2022-01-29,38138.1796875,17194183075
2022-01-30,37917.6015625,14643548444
2022-01-31,38483.125,20734730465
2022-02-01,38743.2734375,20288500328
2022-02-02,36952.984375,19155189416
2022-02-03,37154.6015625,18591534769
2022-02-04,41500.875,29412210792
2022-02-05,41441.1640625,19652846215
2022-02-06,42412.43359375,16142097334
2022-02-07,43840.28515625,28641855926
2022-02-08,44118.4453125,33079398868
2022-02-09,44338.796875,23245887300
2022-02-10,43565.11328125,32142048537
2022-02-11,42407.9375,26954925781
2022-02-12,42244.46875,18152390304
2022-02-13,42197.515625,14741589015
2022-02-14,42586.91796875,20827783012
2022-02-15,44575.203125,22721659051
2022-02-16,43961.859375,19792547657
2022-02-17,40538.01171875,26246662813
2022-02-18,40030.9765625,23310007704
2022-02-19,40122.15625,13736557863
2022-02-20,38431.37890625,18340576452
2022-02-21,37075.28125,29280402798
2022-02-22,38286.02734375,25493150450
2022-02-23,37296.5703125,21849073843
2022-02-24,38332.609375,46383802093
2022-02-25,39214.21875,26545599159
2022-02-26,39105.1484375,17467554129
2022-02-27,37709.78515625,23450127612
2022-02-28,43193.234375,35690014104
2022-03-01,44354.63671875,32479047645
2022-03-02,43924.1171875,29183112630
2022-03-03,42451.7890625,24967782593
2022-03-04,39137.60546875,28516271427
2022-03-05,39400.5859375,16975917450
2022-03-06,38419.984375,19745229902
2022-03-07,38062.0390625,28546143503
2022-03-08,38737.26953125,25776583476
2022-03-09,41982.92578125,32284121034
2022-03-10,39437.4609375,31078064711
2022-03-11,38794.97265625,26364890465
2022-03-12,38904.01171875,14616450657
2022-03-13,37849.6640625,17300745310
2022-03-14,39666.75390625,24322159070
2022-03-15,39338.78515625,23934000868
2022-03-16,41143.9296875,39616916192
2022-03-17,40951.37890625,22009601093
2022-03-18,41801.15625,34421564942
2022-03-19,42190.65234375,19664853187
2022-03-20,41247.82421875,20127946682
2022-03-21,41077.99609375,24615543271
2022-03-22,42358.80859375,32004652376
2022-03-23,42892.95703125,25242943069
2022-03-24,43960.93359375,31042992291
2022-03-25,44348.73046875,30574413034
2022-03-26,44500.828125,16950455995
2022-03-27,46820.4921875,28160889722
2022-03-28,47128.00390625,36362175703
2022-03-29,47465.73046875,31397059069
2022-03-30,47062.6640625,29333883962
2022-03-31,45538.67578125,33327427106
2022-04-01,46281.64453125,38162644287
2022-04-02,45868.94921875,29336594194
2022-04-03,46453.56640625,25414397610
2022-04-04,46622.67578125,32499785455
2022-04-05,45555.9921875,29640604055
2022-04-06,43206.73828125,39393395788
2022-04-07,43503.84765625,26101973106
2022-04-08,42287.6640625,27215995394
2022-04-09,42782.13671875,16050772496
2022-04-10,42207.671875,17654475582
2022-04-11,39521.90234375,33949912166
2022-04-12,40127.18359375,30991500854
2022-04-13,41166.73046875,27691105228
2022-04-14,39935.515625,24342001973
2022-04-15,40553.46484375,21756855753
2022-04-16,40424.484375,16833150693
2022-04-17,39716.953125,19087633042
2022-04-18,40826.21484375,33705182072
2022-04-19,41502.75,25303206547
2022-04-20,41374.37890625,27819532341
2022-04-21,40527.36328125,35372786395
2022-04-22,39740.3203125,28011716745
2022-04-23,39486.73046875,16138021249
2022-04-24,39469.29296875,17964398167
2022-04-25,40458.30859375,35445730570
2022-04-26,38117.4609375,34569088416
2022-04-27,39241.12109375,30981015184
2022-04-28,39773.828125,33903704907
2022-04-29,38609.82421875,30882994649
2022-04-30,37714.875,23895713731
2022-05-01,38469.09375,27002760110
2022-05-02,38529.328125,32922642426
2022-05-03,37750.453125,27326943244
2022-05-04,39698.37109375,36754404490
2022-05-05,36575.140625,43106256317
2022-05-06,36040.921875,37795577489
2022-05-07,35501.953125,24375896406
2022-05-08,34059.265625,36763041910
2022-05-09,30296.953125,63355494961
2022-05-10,31022.90625,59811038817
2022-05-11,28936.35546875,70388855818
2022-05-12,29047.751953125,66989173272
2022-05-13,29283.103515625,42841124537
2022-05-14,30101.265625,28579868620
2022-05-15,31305.11328125,25835372065
2022-05-16,29862.91796875,32613897286
2022-05-17,30425.857421875,29101473475
2022-05-18,28720.271484375,31285268319
2022-05-19,30314.333984375,33773447707
2022-05-20,29200.740234375,30749382605
2022-05-21,29432.2265625,17274840442
2022-05-22,30323.72265625,21631532270
2022-05-23,29098.91015625,31483454557
2022-05-24,29655.5859375,26616506245
2022-05-25,29562.361328125,27525063551
2022-05-26,29267.224609375,36774325352
2022-05-27,28627.57421875,36582005748
2022-05-28,28814.900390625,35519577634
2022-05-29,29445.95703125,18093886409
2022-05-30,31726.390625,39277993274
2022-05-31,31792.310546875,33538210634
2022-06-01,29799.080078125,41135817341
2022-06-02,30467.48828125,29083562061
2022-06-03,29704.390625,26175547452
2022-06-04,29832.9140625,16588370958
2022-06-05,29906.662109375,17264085441
2022-06-06,31370.671875,31947336829
2022-06-07,31155.478515625,40770974039
2022-06-08,30214.35546875,30242059107
2022-06-09,30111.998046875,21692004719
2022-06-10,29083.8046875,29867476527
2022-06-11,28360.810546875,27246574439
2022-06-12,26762.6484375,34163220274
2022-06-13,22487.388671875,68204556440
2022-06-14,22206.79296875,50913575242
2022-06-15,22572.83984375,54912007015
2022-06-16,20381.650390625,31183975654
2022-06-17,20471.482421875,27132421514
2022-06-18,19017.642578125,42009436760
2022-06-19,20553.271484375,35329942625
