Date,Closing Price,Volume
2017-11-09,0.2239689975976944,3347920
2017-11-10,0.1876019984483719,2125460
2017-11-11,0.17976999282836914,2238980
2017-11-12,0.17089800536632538,5455200
2017-11-13,0.18307100236415863,2992650
2017-11-14,0.1881140023469925,2203410
2017-11-15,0.18613800406455994,1689780
2017-11-16,0.16976100206375122,1766160
2017-11-17,0.15964899957180023,2547360
2017-11-18,0.17087200284004211,1948470
2017-11-19,0.1623540073633194,1646620
2017-11-20,0.1621830016374588,1916880
2017-11-21,0.15497200191020966,1952710
2017-11-22,0.16851499676704407,2709660
2017-11-23,0.16438399255275726,3325760
2017-11-24,0.1929209977388382,3763260
2017-11-25,0.18095900118350983,2292830
2017-11-26,0.182888001203537,1860700
2017-11-27,0.1841679960489273,4242550
2017-11-28,0.17642399668693542,5251760
2017-11-29,0.14525499939918518,5052720
2017-11-30,0.1704609990119934,4621870
2017-12-01,0.177823007106781,4352980
2017-12-02,0.20789800584316254,7396790
2017-12-03,0.23062899708747864,8765840
2017-12-04,0.22958099842071533,6981590
2017-12-05,0.3138769865036011,12459200
2017-12-06,0.2915700078010559,12387900
2017-12-07,0.2600640058517456,6697780
2017-12-08,0.24522599577903748,4528570
2017-12-09,0.23885899782180786,3173600
2017-12-10,0.2528980076313019,3142570
2017-12-11,0.2605920135974884,7534170
2017-12-12,0.2314240038394928,10320200
2017-12-13,0.26187801361083984,10439800
2017-12-14,0.30850300192832947,16021700
2017-12-15,0.3207930028438568,13211800
2017-12-16,0.34139299392700195,13859700
2017-12-17,0.4175960123538971,20035600
2017-12-18,0.4349069893360138,18220400
2017-12-19,0.4393559992313385,13254800
2017-12-20,0.3727959990501404,10481200
2017-12-21,0.42428699135780334,12030600
2017-12-22,0.4268780052661896,14979800
2017-12-23,0.5776799917221069,24055000
2017-12-24,0.5441619753837585,15183200
2017-12-25,0.5019329786300659,7740550
2017-12-26,0.5214210152626038,10452900
2017-12-27,0.5055009722709656,6065390
2017-12-28,0.5066969990730286,5458410
2017-12-29,0.4863480031490326,5757530
2017-12-30,0.5861279964447021,9126190
